"station" "lat" "lon" "pm10"
"ABRAA" 50.0420036111111 14.4118261111111 31.3
"AKALA" 50.0942383333333 14.4420488888889 49.6
"AKOBA" 50.1221886111111 14.4675780555556 31.9
"ALEGA" 50.0723877777778 14.4306727777778 57.7
"ALIBA" 50.0073052777778 14.4459333333333 51.6
"APRUA" 50.0622977777778 14.53782 59
"AREPA" 50.0880661111111 14.4292202777778 47.4
"ARIEA" 50.0814819444444 14.4426916666667 45.7
"ASMIA" 50.0731352777778 14.3981408333333 50.5
"ASTOA" 50.0461311111111 14.3314133333333 50.8
"ASUCA" 50.1265297222222 14.3846388888889 58
"AVEXA" 50.0974616666667 14.3525666666667 51.3
"AVRSA" 50.0664291666667 14.4461516666667 50.8
"AVYNA" 50.1110802777778 14.5030955555556 44.4
"BBMAA" 49.2160872222222 16.6138363888889 30.9
"BBMLA" 49.1652602777778 16.5808125 41.7
"BBMSA" 49.2081602777778 16.6425172222222 50.6
"BBMVA" 49.1896208333333 16.5695380555556 46.1
"BBNYA" 49.1489716666667 16.6962166666667 38.4
"BMISA" 48.7917672222222 16.7244969444444 38.3
"BZNOA" 48.8429566666667 16.0601272222222 45.3
"CCBDA" 48.9843863888889 14.4656838888889 52
"CPRAA" 49.0160866666667 14.0004444444444 63.5
"CTABA" 49.4112319444444 14.6763886111111 54.9
"EPAUA" 50.0240363888889 15.7635488888889 46.2
"HHKBA" 50.1953622222222 15.8463763888889 43.8
"HTRMA" 50.5818138888889 15.8939561111111 33.5
"JJIHA" 49.4016686111111 15.6099080555556 40.4
"JKOSA" 49.5733947222222 15.0802783333333 34.5
"JTREA" 49.2234383333333 15.8657780555556 42.8
"KCHMA" 50.0658608333333 12.3634425 47.8
"KKVMA" 50.2301636111111 12.8657111111111 59.5
"KSOMA" 50.1728247222222 12.6728180555556 45.5
"LCLMA" 50.6980438888889 14.537345 34.2
"LJNMA" 50.7273636111111 15.1621561111111 36.7
"LLIMA" 50.7649383333333 15.0538969444444 45.8
"MJESA" 50.2422408333333 17.1901797222222 50.6
"MOLJA" 49.6016425 17.2378369444444 48.8
"MPRRA" 49.4516563888889 17.4541588888889 40.8
"MPSTA" 49.4678572222222 17.114725 53
"PPLAA" 49.7324486111111 13.4022808333333 79
"PPLEA" 49.7473297222222 13.3810386111111 71.4
"PPLLA" 49.7701263888889 13.3682213888889 60.4
"PPLSA" 49.7459908333333 13.3207483333333 69
"PPLVA" 49.7686158333333 13.4233808333333 66.2
"SBERA" 49.9579277777778 14.0583 64.9
"SKLMA" 50.14386 14.1017838888889 48.5
"SKLSA" 50.1674116666667 14.1060475 85
"SMBOA" 50.4286461111111 14.9138594444444 43.2
"SPRIA" 49.6849441666667 14.00774 70.2
"TCTNA" 49.7489586111111 18.6097258333333 46.2
"TFMIA" 49.6717911111111 18.3510702777778 41.1
"THARA" 49.7909775 18.4068355555556 43.7
"TKARA" 49.8637961111111 18.5514525 44.3
"TOFFA" 49.8391875 18.2636891666667 42.2
"TOMHK" 49.8248597222222 18.2636547222222 34.7
"TOPRA" 49.8562583333333 18.2697411111111 51.5
"TOROK" 49.8185386111111 18.3403436111111 37.4
"TORVA" 49.87566 18.4336072222222 41.1
"TOVKA" 49.9449883333333 17.9095305555556 60.1
"TOZRA" 49.7960394444444 18.2471808333333 55.2
"TSTDA" 49.7209358333333 18.0893058333333 38.5
"TTRKA" 49.6723786111111 18.6430377777778 42.8
"TTROA" 49.6681136111111 18.6777991666667 38.1
"TVERA" 49.9246788888889 18.4228725 43
"UDCMA" 50.7741508333333 14.2187938888889 80.4
"UCHMA" 50.4675291666667 13.4126958333333 67.5
"UKRUA" 50.6966705555555 13.8476916666667 56.7
"ULOMA" 50.5857658333333 13.6734180555556 71.8
"ULTTA" 50.5408975 14.1194086111111 71.7
"UMEDA" 50.4275894444444 13.1301430555556 52.8
"UMOMA" 50.5103644444444 13.6452722222222 85.8
"URVHA" 50.5798338888889 13.4195061111111 53.8
"UTPMA" 50.6452788888889 13.8512497222222 64.2
"UTUSA" 50.3765869444444 13.3276225 62.2
"UULKA" 50.683525 14.041195 66
"UULMA" 50.6610947222222 14.0430630555556 73.7
"ZUHRA" 49.0679511111111 17.4668483333333 39.3
"ZZLNA" 49.2329063888889 17.6671752777778 34.5
